"Name","co3d_forward_frame_delay","test/top1acc","from_hparams_file","frames_per_clip","co3d_temporal_fill","_wandb"
"CoX3D_transient_zeros_fr2_m","39","0.5515000224113464","models/x3d/hparams/m.yaml","16","zeros",""
"CoX3D_transient_zeros_fr2_m","38","0.5107499957084656","models/x3d/hparams/m.yaml","16","zeros",""
"CoX3D_transient_zeros_fr2_m","42","0.5767500400543213","models/x3d/hparams/m.yaml","16","zeros",""
"CoX3D_transient_zeros_fr2_m","41","0.5635000467300415","models/x3d/hparams/m.yaml","16","zeros",""
"CoX3D_transient_zeros_fr2_s","41","0.499500036239624","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_m","68","0.5612500309944153","models/x3d/hparams/m.yaml","16","zeros",""
"CoX3D_transient_zeros_fr2_m","64","0.562250018119812","models/x3d/hparams/m.yaml","16","zeros",""
"CoX3D_transient_zeros_fr2_m","60","0.5602500438690186","models/x3d/hparams/m.yaml","16","zeros",""
"CoX3D_transient_zeros_fr2_m","56","0.5550000071525574","models/x3d/hparams/m.yaml","16","zeros",""
"CoX3D_transient_zeros_fr2_m","52","0.5547500252723694","models/x3d/hparams/m.yaml","16","zeros",""
"CoX3D_transient_zeros_fr2_m","48","0.5527500510215759","models/x3d/hparams/m.yaml","16","zeros",""
"CoX3D_transient_zeros_fr2_m","44","0.5627500414848328","models/x3d/hparams/m.yaml","16","zeros",""
"CoX3D_transient_zeros_fr2_m","40","0.5645000338554382","models/x3d/hparams/m.yaml","16","zeros",""
"CoX3D_transient_zeros_fr2_m","36","0.47200003266334534","models/x3d/hparams/m.yaml","16","zeros",""
"CoX3D_transient_zeros_fr2_m","32","0.3177500069141388","models/x3d/hparams/m.yaml","16","zeros",""
"CoX3D_transient_zeros_fr2_m","30","0.1742500066757202","models/x3d/hparams/m.yaml","16","zeros",""
"CoX3D_transient_zeros_fr2_m","28","0.00950000062584877","models/x3d/hparams/m.yaml","16","zeros",""
"CoX3D_transient_zeros_fr2_m","26","0.0017500000540167091","models/x3d/hparams/m.yaml","16","zeros",""
"CoX3D_transient_zeros_fr2_m","24","0.002250000135973096","models/x3d/hparams/m.yaml","16","zeros",""
"CoX3D_transient_zeros_fr2_m","16","0.0027500002179294825","models/x3d/hparams/m.yaml","16","zeros",""
"CoX3D_transient_zeros_fr2_m","0","0.0027500002179294825","models/x3d/hparams/m.yaml","16","zeros",""
"CoX3D_transient_replicate_fr2_m","80","0.5642500519752502","models/x3d/hparams/m.yaml","16","replicate",""
"CoX3D_transient_replicate_fr2_m","72","0.5605000257492065","models/x3d/hparams/m.yaml","16","replicate",""
"CoX3D_transient_replicate_fr2_m","68","0.5602500438690186","models/x3d/hparams/m.yaml","16","replicate",""
"CoX3D_transient_replicate_fr2_m","64","0.562000036239624","models/x3d/hparams/m.yaml","16","replicate",""
"CoX3D_transient_replicate_fr2_m","60","0.5600000023841858","models/x3d/hparams/m.yaml","16","replicate",""
"CoX3D_transient_replicate_fr2_m","56","0.5550000071525574","models/x3d/hparams/m.yaml","16","replicate",""
"CoX3D_transient_replicate_fr2_m","52","0.5550000071525574","models/x3d/hparams/m.yaml","16","replicate",""
"CoX3D_transient_replicate_fr2_m","48","0.5540000200271606","models/x3d/hparams/m.yaml","16","replicate",""
"CoX3D_transient_replicate_fr2_m","44","0.5492500066757202","models/x3d/hparams/m.yaml","16","replicate",""
"CoX3D_transient_replicate_fr2_m","40","0.530500054359436","models/x3d/hparams/m.yaml","16","replicate",""
"CoX3D_transient_replicate_fr2_m","36","0.503000020980835","models/x3d/hparams/m.yaml","16","replicate",""
"CoX3D_transient_replicate_fr2_m","32","0.46675002574920654","models/x3d/hparams/m.yaml","16","replicate",""
"CoX3D_transient_replicate_fr2_m","30","0.41475000977516174","models/x3d/hparams/m.yaml","16","replicate",""
"CoX3D_transient_replicate_fr2_m","28","0.2822500169277191","models/x3d/hparams/m.yaml","16","replicate",""
"CoX3D_transient_replicate_fr2_m","26","0.023500001057982445","models/x3d/hparams/m.yaml","16","replicate",""
"CoX3D_transient_replicate_fr2_m","24","0.005750000476837158","models/x3d/hparams/m.yaml","16","replicate",""
"CoX3D_transient_replicate_fr2_m","16","0.006500000134110451","models/x3d/hparams/m.yaml","16","replicate",""
"CoX3D_transient_replicate_fr2_m","0","0.006500000134110451","models/x3d/hparams/m.yaml","16","replicate",""
"CoX3D_transient_zeros_fr2_s","42","0.48125001788139343","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_replicate_fr2_s","52","0.4817500114440918","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","42","0.476250022649765","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_zeros_fr2_s","38","0.5125000476837158","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","68","0.4922500252723694","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","60","0.4892500340938568","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","52","0.4817500114440918","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","44","0.4817500114440918","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_replicate_fr2_s","38","0.4620000123977661","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","54","0.48350003361701965","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_zeros_fr2_s","56","0.4815000295639038","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","48","0.4815000295639038","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","40","0.5162500143051147","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","36","0.5002500414848328","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","34","0.46675002574920654","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","32","0.4300000071525574","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","30","0.2850000262260437","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","28","0.05375000089406967","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","26","0.0027500002179294825","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","24","0.0012500000884756446","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","16","0.0027500002179294825","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","8","0.0042500002309679985","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","0","0.003250000067055226","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_replicate_fr2_s","68","0.4922500252723694","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","76","0.49125003814697266","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","44","0.48225003480911255","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","40","0.4750000238418579","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","36","0.4505000114440918","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","34","0.4327500164508819","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","32","0.39125001430511475","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","30","0.31425002217292786","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","28","0.12600000202655792","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","26","0.004000000189989805","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","24","0.0027500002179294825","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","16","0.002500000176951289","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","8","0.0027500002179294825","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","0","0.0027500002179294825","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","64","0.4947500228881836","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","60","0.4892500340938568","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","56","0.4815000295639038","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","48","0.4817500114440918","models/x3d/hparams/s.yaml","13","replicate",""